row,column
2, 4
2, 4
3, 5
3, 6
9, 6
2, 4
9, 6
2, 4
9, 7
3, 7
10, 7
2, 4
2, 8
9, 6
9, 7
2, 5
2, 8
9, 6
3, 7
9, 6
3, 5
9, 7
7, 5
3, 7
9, 6
3, 5
8, 6
2, 8
10, 7
7, 6
2, 4
7, 5
10, 7
3, 5
3, 6
9, 6
3, 5
8, 6
2, 8
10, 7
2, 4
9, 7
6, 6
5, 6
10, 5
9, 8
9, 5
2, 8
9, 4
10, 7
10, 8
3, 7
10, 5
3, 5
10, 4
2, 8
10, 5
2, 4
10, 4
10, 5
3, 7
10, 5
8, 4
3, 7
10, 7
9, 7
3, 7
9, 6
7, 4
8, 7
8, 6
7, 7
7, 8
9, 6
7, 6
9, 5
7, 7
7, 8
8, 5
9, 6
2, 4
8, 4
9, 5
8, 5
10, 5
2, 8
10, 4
7, 5
9, 6
7, 4
3, 5
8, 6
2, 5
3, 8
9, 6
5, 4
7, 6
2, 7
9, 5
5, 10
7, 2
10, 7
5, 4
2, 4
4, 10
9, 7
7, 10
6, 3
10, 7
8, 7
8, 10
6, 4
9, 7
6, 9
5, 2
10, 7
5, 4
2, 4
6, 8
5, 3
9, 7
7, 10
6, 3
9, 6
6, 4
8, 6
7, 10
2, 8
5, 2
9, 6
4, 2
8, 6
5, 10
3, 7
6, 3
10, 5
5, 9
10, 4
6, 9
2, 8
7, 2
9, 6
8, 6
6, 3
9, 6
8, 5
3, 5
9, 5
10, 5
3, 5
10, 4
10, 5
3, 5
9, 6
2, 4
8, 6
10, 7
8, 5
2, 4
10, 8
9, 6
2, 8
8, 6
9, 6
8, 5
3, 5
8, 4
8, 6
10, 7
8, 5
2, 4
10, 8
10, 7
2, 4
10, 8
9, 6
2, 8
9, 5
8, 5
10, 7
7, 5
10, 8
10, 7
6, 5
3, 7
9, 7
9, 6
9, 8
2, 4
2, 8
9, 7
9, 6
9, 8
8, 6
3, 6
9, 6
8, 5
2, 8
8, 4
9, 7
10, 5
9, 8
9, 5
8, 5
10, 5
10, 4
7, 5
9, 6
7, 4
8, 6
9, 6
8, 5
7, 5
9, 5
8, 5
9, 6
6, 5
8, 4
8, 6
6, 4
10, 7
8, 7
9, 7
7, 7
6, 7
9, 6
8, 7
6, 8
8, 6
7, 7
6, 7
10, 7
8, 5
5, 7
7, 5
10, 8
9, 6
7, 4
9, 7
10, 5
7, 10
10, 4
7, 9
7, 2
9, 6
6, 9
8, 6
5, 2
10, 7
7, 6
5, 10
10, 8
10, 7
7, 10
9, 6
7, 10
8, 6
10, 7
10, 5
10, 4
9, 6
8, 6
9, 6
10, 5
