zone_0,zone_1,zone_2
0,0,0
0,1,0
1,1,0
2,1,0
2,2,0
4,1,0
4,1,1
5,1,1
5,2,1
3,3,3
4,2,4
4,3,4
5,1,6
5,2,5
5,1,7
4,2,7
4,3,7
5,3,6
4,3,8
4,4,7
4,4,8
4,4,8
4,4,9
5,4,8
6,3,9
5,4,9
6,3,10
6,4,9
8,2,10
7,3,10
7,3,11
8,3,10
8,3,11
9,3,10
9,3,11
9,4,10
9,3,12
9,4,11
9,4,12
10,3,12
9,3,14
10,3,13
9,3,15
9,4,14
9,3,16
9,4,15
9,3,17
9,4,16
10,3,17
10,4,16
11,4,16
11,5,15
11,6,15
11,6,15
12,6,15
11,5,16
11,5,17
11,5,17
13,3,17
13,4,16
14,5,15
13,5,14
14,5,14
13,5,13
14,4,14
13,5,12
14,4,13
13,5,11
13,5,12
12,6,10
13,5,11
12,6,9
12,5,11
11,6,9
13,4,10
12,5,8
12,4,10
10,3,11
9,3,13
9,2,12
8,2,14
7,3,12
9,1,13
9,2,12
8,2,14
8,3,13
9,3,13
9,3,13
9,3,14
9,3,14
10,2,15
10,2,15
10,3,15
10,3,15
11,3,15
10,4,15
11,4,15
11,4,15
11,5,15
12,4,15
13,4,15
13,4,14
13,5,14
14,4,14
14,3,15
14,2,15
13,2,16
13,1,16
12,1,17
12,1,16
12,1,16
12,0,16
11,0,17
10,0,17
10,0,17
10,0,16
10,0,16
10,0,15
10,0,15
10,0,14
9,0,15
9,0,14
9,0,14
9,0,13
8,0,13
7,0,12
7,0,11
6,0,10
6,0,9
5,0,8
5,0,7
4,0,6
4,0,5
4,0,4
3,0,4
3,0,3
2,0,3
2,0,2
2,0,2
2,0,1
2,0,1
1,0,1
0,0,2
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
